"ENTREZID","category","gene_Symbol"
"839","Enterocytes","CASP6"
"3172","Enterocytes","HNF4A"
"358","Enterocytes","AQP1"
"120224","Enterocytes","TMEM45B"
"285704","Enterocytes","RGMB"
"5160","Enterocytes","PDHA1"
"1036","Enterocytes","CDO1"
"1999","Enterocytes","ELF3"
"200634","Enterocytes","KRTCAP3"
"123099","Enterocytes","DEGS2"
"147798","Enterocytes","TMC4"
"54866","Enterocytes","PPP1R14D"
"9032","Enterocytes","TM4SF5"
"54546","Enterocytes","RNF186"
"634","Enterocytes","CEACAM1"
"688","Enterocytes","KLF5"
"1044","Enterocytes","CDX1"
"1045","Enterocytes","CDX2"
"24146","Enterocytes","CLDN15"
"430","Enterocytes","ASCL2"
"64094","Enterocytes","SMOC2"
"79170","Enterocytes","PRR15L"
"8789","Enterocytes","FBP2"
"113675","Enterocytes","SDSL"
"55612","Enterocytes","FERMT1"
"229","Enterocytes","ALDOB"
"56667","Enterocytes","MUC13"
"644844","Enterocytes","PHGR1"
"118471","Enterocytes","PRAP1"
"6370","Enterocytes","CCL25"
"3957","Enterocytes","LGALS2"
"10417","Enterocytes","SPON2"
"54829","Enterocytes","ASPN"
"1504","Enterocytes","CTRB1"
"1604","Enterocytes","CD55"
"28513","Enterocytes","CDH19"
"222553","Enterocytes","SLC35F1"
"50486","Enterocytes","G0S2"
"51454","Enterocytes","GULP1"
"85409","Enterocytes","NKD2"
"80781","Enterocytes","COL18A1"
"6663","Enterocytes","SOX10"
"57642","Enterocytes","COL20A1"
"56937","Enterocytes","PMEPA1"
"2675","Enterocytes","GFRA2"
"419","Enterocytes","ART3"
"1836","Enterocytes","SLC26A2"
"5645","Enterocytes","PRSS2"
"3897","Enterocytes","L1CAM"
"4891","Enterocytes","SLC11A2"
"1811","Enterocytes","SLC26A3"
"335","Enterocytes","APOA1"
"337","Enterocytes","APOA4"
"873","Enterocytes","CBR1"
"2053","Enterocytes","EPHX2"
"2947","Enterocytes","GSTM3"
"84699","Enterocytes","CREB3L3"
"4224","Enterocytes","MEP1A"
"2172","Enterocytes","FABP6"
"5948","Enterocytes","RBP2"
"1576","Enterocytes","CYP3A4"
"338","Enterocytes","APOB"
"4547","Enterocytes","MTTP"
"6514","Enterocytes","SLC2A2"
"345","Enterocytes","APOC3"
"7367","Enterocytes","UGT2B17"
"948","Enterocytes","CD36"
"5068","Enterocytes","REG3A"
"91464","Enterocytes","ISX"
"89872","Enterocytes","AQP10"
"795","Enterocytes","S100G"
"266675","Enterocytes","BEST4"
"9154","Enterocytes","SLC28A1"
"9153","Enterocytes","SLC28A2"
"55532","Enterocytes","SLC30A10"
"123264","Enterocytes","SLC51B"
NA,"Enterocytes","1"
"9963","Enterocytes","SLC23A1"
"11181","Enterocytes","TREH"
"1244","Enterocytes","ABCC2"
"64240","Enterocytes","ABCG5"
"55065","Enterocytes","SLC52A1"
"1551","Enterocytes","CYP3A7"
"1755","Enterocytes","DMBT1"
"64241","Enterocytes","ABCG8"
"123","Enterocytes","PLIN2"
"2938","Enterocytes","GSTA1"
"79901","Enterocytes","CYBRD1"
"9429","Enterocytes","ABCG2"
"9971","Enterocytes","NR1H4"
"1600","Enterocytes","DAB1"
"53345","Enterocytes","TM6SF2"
"2494","Enterocytes","NR5A2"
"5174","Enterocytes","PDZK1"
"51703","Enterocytes","ACSL5"
"282679","Enterocytes","AQP11"
"364","Enterocytes","AQP7"
"343","Enterocytes","AQP8"
"3162","Enterocytes","HMOX1"
"283375","Enterocytes","SLC39A5"
"200931","Enterocytes","SLC51A"
"140803","Enterocytes","TRPM6"
"80168","Enterocytes","MOGAT2"
"2744","Enterocytes","GLS"
"4128","Enterocytes","MAOA"
"8694","Enterocytes","DGAT1"
"84649","Enterocytes","DGAT2"
"387129","Enteroendocrine cells","NPSR1"
"2865","Enteroendocrine cells","FFAR3"
"6328","Enteroendocrine cells","SCN3A"
"50674","Enteroendocrine cells","NEUROG3"
"2864","Enteroendocrine cells","FFAR1"
"170302","Enteroendocrine cells","ARX"
"4821","Enteroendocrine cells","NKX2-2"
"6343","Enteroendocrine cells","SCT"
"885","Enteroendocrine cells","CCK"
"2676","Enteroendocrine cells","GFRA3"
"90113","Enteroendocrine cells","VWA5B2"
"4760","Enteroendocrine cells","NEUROD1"
"10590","Enteroendocrine cells","SCGN"
"5122","Enteroendocrine cells","PCSK1"
"3670","Enteroendocrine cells","ISL1"
"2171","Enteroendocrine cells","FABP5"
"6863","Enteroendocrine cells","TAC1"
"23504","Enteroendocrine cells","RIMBP2"
"5080","Enteroendocrine cells","PAX6"
"2695","Enteroendocrine cells","GIP"
"2740","Enteroendocrine cells","GLP1R"
"5697","Enteroendocrine cells","PYY"
"9340","Enteroendocrine cells","GLP2R"
"2520","Enteroendocrine cells","GAST"
"4922","Enteroendocrine cells","NTS"
"6750","Enteroendocrine cells","SST"
"4295","Enteroendocrine cells","MLN"
"139760","Enteroendocrine cells","GPR119"
"2641","Enteroendocrine cells","GCG"
"1114","Enteroendocrine cells","CHGB"
"1363","Enteroendocrine cells","CPE"
"51083","Enteroendocrine cells","GAL"
"4925","Enteroendocrine cells","NUCB2"
"3375","Enteroendocrine cells","IAPP"
"51738","Enteroendocrine cells","GHRL"
"1113","Enteroendocrine cells","CHGA"
"8989","Enteroendocrine cells","TRPA1"
"5168","Enteroendocrine cells","ENPP2"
"174","Enteroendocrine cells","AFP"
"7422","Enteroendocrine cells","VEGFA"
"338557","Enteroendocrine cells","FFAR4"
"4160","Enteroendocrine cells","MC4R"
"10022","Enteroendocrine cells","INSL5"
"6752","Enteroendocrine cells","SSTR2"
"214","Enteroendocrine cells","ALCAM"
"80834","Enteroendocrine cells","TAS1R2"
"83756","Enteroendocrine cells","TAS1R3"
"346562","Enteroendocrine cells","GNAT3"
"719","Eosinophils","C3AR1"
"2526","Eosinophils","FUT4"
"2208","Eosinophils","FCER2"
"728","Eosinophils","C5AR1"
"2833","Eosinophils","CXCR3"
"1230","Eosinophils","CCR1"
"1232","Eosinophils","CCR3"
"51744","Eosinophils","CD244"
"11251","Eosinophils","PTGDR2"
"6280","Eosinophils","S100A9"
"27181","Eosinophils","SIGLEC8"
"89790","Eosinophils","SIGLEC10"
"8993","Eosinophils","PGLYRP1"
"4056","Eosinophils","LTC4S"
"8288","Eosinophils","EPX"
"969","Eosinophils","CD69"
"6037","Eosinophils","RNASE3"
"6036","Eosinophils","RNASE2"
"3567","Eosinophils","IL5"
"5553","Eosinophils","PRG2"
"10394","Eosinophils","PRG3"
"1359","Eosinophils","CPA3"
"22807","Eosinophils","IKZF2"
"6356","Eosinophils","CCL11"
"6352","Eosinophils","CCL5"
"1437","Eosinophils","CSF2"
"3568","Eosinophils","IL5RA"
"2302","Ependymal cells","FOXJ1"
"131405","Ependymal cells","TRIM71"
"6496","Ependymal cells","SIX3"
"11274","Ependymal cells","USP18"
"361","Ependymal cells","AQP4"
"1952","Ependymal cells","CELSR2"
"358","Ependymal cells","AQP1"
"2670","Ependymal cells","GFAP"
"219670","Ependymal cells","ENKUR"
"144809","Ependymal cells","FAM216B"
"3866","Ependymal cells","KRT15"
"375307","Ependymal cells","CATIP"
"201625","Ependymal cells","DNAH12"
"730112","Ependymal cells","FAM166B"
"84223","Ependymal cells","IQCG"
"79925","Ependymal cells","SPEF2"
"23026","Ependymal cells","MYO16"
"440836","Ependymal cells","ODF3B"
"23654","Ependymal cells","PLXNB2"
"83659","Ependymal cells","TEKT1"
"11200","Ependymal cells","CHEK2"
"9696","Ependymal cells","CROCC"
"347736","Ependymal cells","NME9"
"257177","Ependymal cells","CFAP126"
"644890","Ependymal cells","MEIG1"
"3306","Ependymal cells","HSPA2"
"255101","Ependymal cells","CFAP65"
"10233","Ependymal cells","LRRC23"
"150483","Ependymal cells","TEKT4"
"91860","Ependymal cells","CALML4"
"128344","Ependymal cells","PIFO"
"155051","Ependymal cells","CRYGN"
"3067","Ependymal cells","HDC"
"654790","Ependymal cells","PCP4L1"
"83657","Ependymal cells","DYNLRB2"
"84314","Ependymal cells","TMEM107"
"284485","Ependymal cells","RIIAD1"
"389177","Ependymal cells","TMEM212"
"89765","Ependymal cells","RSPH1"
"283152","Ependymal cells","CCDC153"
"6285","Ependymal cells","S100B"
"122481","Ependymal cells","AK7"
"5919","Ependymal cells","RARRES2"
"5816","Ependymal cells","PVALB"
"23452","Ependymal cells","ANGPTL2"
"144535","Ependymal cells","CFAP54"
"161003","Ependymal cells","STOML3"
"5360","Ependymal cells","PLTP"
NA,"Ependymal cells","SSPO"
"1949","Ependymal cells","EFNB3"
"4602","Ependymal cells","MYB"
"5990","Ependymal cells","RFX2"
"51364","Ependymal cells","ZMYND10"
"158067","Ependymal cells","AK8"
"55779","Ependymal cells","CFAP44"
"4071","Ependymal cells","TM4SF1"
"79923","Epiblast cells","NANOG"
"5460","Epiblast cells","POU5F1"
"3266","Epiblast cells","ERAS"
"999","Epiblast cells","CDH1"
"4072","Epiblast cells","EPCAM"
"9074","Epiblast cells","CLDN6"
"1366","Epiblast cells","CLDN7"
"340146","Epiblast cells","SLC35D3"
"6997","Epiblast cells","TDGF1"
"6387","Epiblast cells","CXCL12"
"6664","Epiblast cells","SOX11"
"51176","Epiblast cells","LEF1"
"1400","Epiblast cells","CRMP1"
"56896","Epiblast cells","DPYSL5"
"53335","Epiblast cells","BCL11A"
"9118","Epiblast cells","INA"
"4237","Epiblast cells","MFAP2"
"100133941","Epithelial cells","CD24"
"634","Epithelial cells","CEACAM1"
"6480","Epithelial cells","ST6GAL1"
"3691","Epithelial cells","ITGB4"
"3554","Epithelial cells","IL1R1"
"8842","Epithelial cells","PROM1"
"999","Epithelial cells","CDH1"
"3848","Epithelial cells","KRT1"
"3855","Epithelial cells","KRT7"
"4582","Epithelial cells","MUC1"
"3383","Epithelial cells","ICAM1"
"3861","Epithelial cells","KRT14"
"3852","Epithelial cells","KRT5"
"3683","Epithelial cells","ITGAL"
"914","Epithelial cells","CD2"
"354","Epithelial cells","KLK3"
"3678","Epithelial cells","ITGA5"
"3676","Epithelial cells","ITGA4"
"3673","Epithelial cells","ITGA2"
"3850","Epithelial cells","KRT3"
"3868","Epithelial cells","KRT16"
"6337","Epithelial cells","SCNN1A"
"3866","Epithelial cells","KRT15"
"3672","Epithelial cells","ITGA1"
"3849","Epithelial cells","KRT2"
NA,"Epithelial cells","KRT6"
"6338","Epithelial cells","SCNN1B"
"6339","Epithelial cells","SCNN1D"
"6340","Epithelial cells","SCNN1G"
"3428","Epithelial cells","IFI16"
"666","Epithelial cells","BOK"
"85407","Epithelial cells","NKD1"
"8323","Epithelial cells","FZD6"
NA,"Epithelial cells","3"
"8828","Epithelial cells","NRP2"
"6425","Epithelial cells","SFRP5"
"26064","Epithelial cells","RAI14"
"1672","Epithelial cells","DEFB1"
"3816","Epithelial cells","KLK1"
"10551","Epithelial cells","AGR2"
"335","Epithelial cells","APOA1"
"10223","Epithelial cells","GPA33"
"290","Epithelial cells","ANPEP"
NA,"Epithelial cells","APN"
"1411","Epithelial cells","CRYBA1"
"648","Epithelial cells","BMI1"
"672","Epithelial cells","BRCA1"
"94025","Epithelial cells","MUC16"
"1048","Epithelial cells","CEACAM5"
"1510","Epithelial cells","CTSE"
"7356","Epithelial cells","SCGB1A1"
NA,"Epithelial cells","DESMIN"
"9156","Epithelial cells","EXO1"
"3169","Epithelial cells","FOXA1"
"2568","Epithelial cells","GABRP"
"2678","Epithelial cells","GGT1"
"2810","Epithelial cells","SFN"
"3860","Epithelial cells","KRT13"
"4057","Epithelial cells","LTF"
"57864","Epithelial cells","SLC46A2"
NA,"Epithelial cells","MEP1"
NA,"Epithelial cells","MEP7"
NA,"Epithelial cells","NES1"
"5655","Epithelial cells","KLK10"
"5027","Epithelial cells","P2RX7"
"1029","Epithelial cells","CDKN2A"
"8626","Epithelial cells","TP63"
"1001","Epithelial cells","CDH3"
NA,"Epithelial cells","PPN1"
"8000","Epithelial cells","PSCA"
"177","Epithelial cells","AGER"
"132625","Epithelial cells","ZFP42"
"6699","Epithelial cells","SPRR1B"
"6476","Epithelial cells","SI"
"7276","Epithelial cells","TTR"
"79853","Epithelial cells","TM4SF20"
"100131187","Epithelial cells","TSTD1"
"342898","Epithelial cells","SYCN"
"1839","Epithelial cells","HBEGF"
"5284","Epithelial cells","PIGR"
"56667","Epithelial cells","MUC13"
"8991","Epithelial cells","SELENBP1"
"1999","Epithelial cells","ELF3"
"10103","Epithelial cells","TSPAN1"
"2980","Epithelial cells","GUCA2A"
"644844","Epithelial cells","PHGR1"
"646627","Epithelial cells","LYPD8"
"3960","Epithelial cells","LGALS4"
"2624","Epithelial cells","GATA2"
"10483","Epithelial cells","SEC23B"
"7103","Epithelial cells","TSPAN8"
"1749","Epithelial cells","DLX5"
"84649","Epithelial cells","DGAT2"
"3709","Epithelial cells","ITPR2"
"7069","Epithelial cells","THRSP"
"5321","Epithelial cells","PLA2G4A"
"153328","Epithelial cells","SLC25A48"
"5241","Epithelial cells","PGR"
"55612","Epithelial cells","FERMT1"
"26298","Epithelial cells","EHF"
"79949","Epithelial cells","PLEKHS1"
"8814","Epithelial cells","CDKL1"
"2122","Epithelial cells","MECOM"
"4487","Epithelial cells","MSX1"
"79589","Epithelial cells","RNF128"
"54443","Epithelial cells","ANLN"
NA,"Epithelial cells","CASC5"
"26586","Epithelial cells","CKAP2"
"3161","Epithelial cells","HMMR"
"56992","Epithelial cells","KIF15"
"150468","Epithelial cells","CKAP2L"
"9585","Epithelial cells","KIF20B"
"8479","Epithelial cells","HIRIP3"
"3619","Epithelial cells","INCENP"
"9493","Epithelial cells","KIF23"
"9055","Epithelial cells","PRC1"
"1894","Epithelial cells","ECT2"
"3627","Epithelial cells","CXCL10"
"3576","Epithelial cells","CXCL8"
"6364","Epithelial cells","CCL20"
"284340","Epithelial cells","CXCL17"
"10216","Epithelial cells","PRG4"
"246","Epithelial cells","ALOX15"
"2153","Epithelial cells","F5"
"84034","Epithelial cells","EMILIN2"
"165679","Epithelial cells","SPTSSB"
"2330","Epithelial cells","FMO5"
"3713","Epithelial cells","IVL"
"23584","Epithelial cells","VSIG2"
"360","Epithelial cells","AQP3"
"54852","Epithelial cells","PAQR5"
"4072","Epithelial cells","EPCAM"
"9076","Epithelial cells","CLDN1"
"100506658","Epithelial cells","OCLN"
"4586","Epithelial cells","MUC5AC"
"51738","Epsilon cells","GHRL"
"312","Epsilon cells","ANXA13"
"644844","Epsilon cells","PHGR1"
"652","Epsilon cells","BMP4"
"3158","Epsilon cells","HMGCS2"
"9032","Epsilon cells","TM4SF5"
"56944","Epsilon cells","OLFML3"
"432","Epsilon cells","ASGR1"
"1339","Epsilon cells","COX6A2"
"4886","Epsilon cells","NPY1R"
"10826","Epsilon cells","FAXDC2"
"11136","Epsilon cells","SLC7A9"
NA,"Epsilon cells","C2ORF54"
"100126793","Epsilon cells","GHRLOS"
"635","Epsilon cells","BHMT"
"4986","Epsilon cells","OPRK1"
"5734","Epsilon cells","PTGER4"
"3676","Epsilon cells","ITGA4"
"2070","Epsilon cells","EYA4"
"9942","Epsilon cells","XYLB"
"54898","Epsilon cells","ELOVL2"
"3899","Epsilon cells","AFF3"
"10699","Epsilon cells","CORIN"
"4640","Epsilon cells","MYO1A"
"3274","Epsilon cells","HRH2"
"799","Epsilon cells","CALCR"
"28968","Epsilon cells","SLC6A16"
"5046","Epsilon cells","PCSK6"
"11174","Epsilon cells","ADAMTS6"
"169044","Epsilon cells","COL22A1"
"220108","Epsilon cells","FAM124A"
"1303","Epsilon cells","COL12A1"
"135228","Epsilon cells","CD109"
"79875","Epsilon cells","THSD4"
"170302","Epsilon cells","ARX"
"4821","Epsilon cells","NKX2-2"
"2180","Epsilon cells","ACSL1"
"2487","Epsilon cells","FRZB"
"7448","Epsilon cells","VTN"
"350","Epsilon cells","APOH"
"6690","Epsilon cells","SPINK1"
"128434","Epsilon cells","VSTM2L"
"165679","Epsilon cells","SPTSSB"
"6277","Epsilon cells","S100A6"
"3856","Epsilon cells","KRT8"
"1081","Erythroblasts","CGA"
"7037","Erythroblasts","TFRC"
"999","Erythroblasts","CDH1"
"7486","Erythroblasts","WRN"
"960","Erythroblasts","CD44"
"10661","Erythroblasts","KLF1"
"53335","Erythroblasts","BCL11A"
"669","Erythroblasts","BPGM"
"2113","Erythroblasts","ETS1"
"2057","Erythroblasts","EPOR"
"3476","Erythroblasts","IGBP1"
"7036","Erythroblasts","TFR2"
"2993","Erythroblasts","GYPA"
"4001","Erythroblasts","LMNB1"
"7804","Erythroblasts","LRP8"
"2926","Erythroblasts","GRSF1"
"55850","Erythroblasts","USE1"
"3688","Erythroblasts","ITGB1"
"5199","Erythroblasts","CFP"
"2022","Erythroblasts","ENG"
"3815","Erythroblasts","KIT"
"4005","Erythroblasts","LMO2"
"2623","Erythroblasts","GATA1"
"6886","Erythroblasts","TAL1"
"387893","Erythroblasts","KMT5A"
"9780","Erythroblasts","PIEZO1"
"212","Erythroid-like and erythroid precursor cells","ALAS2"
"3073","Erythroid-like and erythroid precursor cells","HEXA"
"358","Erythroid-like and erythroid precursor cells","AQP1"
"890","Erythroid-like and erythroid precursor cells","CCNA2"
"5313","Erythroid-like and erythroid precursor cells","PKLR"
"4015","Erythroid-like and erythroid precursor cells","LOX"
"383","Erythroid-like and erythroid precursor cells","ARG1"
"3043","Erythroid-like and erythroid precursor cells","HBB"
"3039","Erythroid-like and erythroid precursor cells","HBA1"
"3040","Erythroid-like and erythroid precursor cells","HBA2"
"3047","Erythroid-like and erythroid precursor cells","HBG1"
"3048","Erythroid-like and erythroid precursor cells","HBG2"
"634","Erythroid-like and erythroid precursor cells","CEACAM1"
"948","Erythroid-like and erythroid precursor cells","CD36"
"2993","Erythroid-like and erythroid precursor cells","GYPA"
"7057","Erythroid-like and erythroid precursor cells","THBS1"
"3676","Erythroid-like and erythroid precursor cells","ITGA4"
"2994","Erythroid-like and erythroid precursor cells","GYPB"
"51327","Erythroid-like and erythroid precursor cells","AHSP"
"3042","Erythroid-like and erythroid precursor cells","HBM"
"2235","Erythroid-like and erythroid precursor cells","FECH"
"2057","Erythroid-like and erythroid precursor cells","EPOR"
"3815","Erythroid-like and erythroid precursor cells","KIT"
"669","Erythroid-like and erythroid precursor cells","BPGM"
"25853","Erythroid-like and erythroid precursor cells","DCAF12"
"3045","Erythroid-like and erythroid precursor cells","HBD"
"55363","Erythroid-like and erythroid precursor cells","HEMGN"
"3145","Erythroid-like and erythroid precursor cells","HMBS"
"8031","Erythroid-like and erythroid precursor cells","NCOA4"
"55544","Erythroid-like and erythroid precursor cells","RBM38"
"7351","Erythroid-like and erythroid precursor cells","UCP2"
"7314","Erythroid-like and erythroid precursor cells","UBB"
"9911","Erythroid-like and erythroid precursor cells","TMCC2"
"6521","Erythroid-like and erythroid precursor cells","SLC4A1"
"51629","Erythroid-like and erythroid precursor cells","SLC25A39"
"51312","Erythroid-like and erythroid precursor cells","SLC25A37"
"2354","Erythroid-like and erythroid precursor cells","FOSB"
"27336","Erythroid-like and erythroid precursor cells","HTATSF1"
"2035","Erythroid-like and erythroid precursor cells","EPB41"
"91543","Erythroid-like and erythroid precursor cells","RSAD2"
"125965","Erythroid-like and erythroid precursor cells","COX6B2"
"335","Erythroid-like and erythroid precursor cells","APOA1"
"440","Erythroid-like and erythroid precursor cells","ASNS"
"210","Erythroid-like and erythroid precursor cells","ALAD"
"6280","Erythroid-like and erythroid precursor cells","S100A9"
"197","Erythroid-like and erythroid precursor cells","AHSG"
"6279","Erythroid-like and erythroid precursor cells","S100A8"
"114625","Erythroid-like and erythroid precursor cells","ERMAP"
"3783","Erythroid-like and erythroid precursor cells","KCNN4"
"255967","Erythroid-like and erythroid precursor cells","PAN3"
"5198","Erythroid-like and erythroid precursor cells","PFAS"
"10791","Erythroid-like and erythroid precursor cells","VAMP5"
"55163","Erythroid-like and erythroid precursor cells","PNPO"
"222642","Erythroid-like and erythroid precursor cells","TSPO2"
"6007","Erythroid-like and erythroid precursor cells","RHD"
"10661","Erythroid-like and erythroid precursor cells","KLF1"
"340348","Erythroid-like and erythroid precursor cells","TSPAN33"
"2038","Erythroid-like and erythroid precursor cells","EPB42"
"960","Erythroid-like and erythroid precursor cells","CD44"
"961","Erythroid-like and erythroid precursor cells","CD47"
"1604","Erythroid-like and erythroid precursor cells","CD55"
"26098","Erythroid-like and erythroid precursor cells","EDRF1"
"2037","Erythroid-like and erythroid precursor cells","EPB41L2"
"2995","Erythroid-like and erythroid precursor cells","GYPC"
"3792","Erythroid-like and erythroid precursor cells","KEL"
"6005","Erythroid-like and erythroid precursor cells","RHAG"
"7068","Erythroid-like and erythroid precursor cells","THRB"
"7389","Erythroid-like and erythroid precursor cells","UROD"
"7390","Erythroid-like and erythroid precursor cells","UROS"
"6622","Erythroid-like and erythroid precursor cells","SNCA"
"3554","Fibroblasts","IL1R1"
"2191","Fibroblasts","FAP"
"2313","Fibroblasts","FLI1"
"1990","Fibroblasts","CELA1"
"4015","Fibroblasts","LOX"
"5159","Fibroblasts","PDGFRB"
"5033","Fibroblasts","P4HA1"
"7351","Fibroblasts","UCP2"
"729230","Fibroblasts","CCR2"
"3683","Fibroblasts","ITGAL"
"2268","Fibroblasts","FGR"
"3055","Fibroblasts","HCK"
"7133","Fibroblasts","TNFRSF1B"
"5580","Fibroblasts","PRKCD"
"2027","Fibroblasts","ENO3"
"51225","Fibroblasts","ABI3"
"285852","Fibroblasts","TREML4"
"5305","Fibroblasts","PIP4K2A"
"342510","Fibroblasts","CD300E"
"5273","Fibroblasts","SERPINB10"
"115908","Fibroblasts","CTHRC1"
"9096","Fibroblasts","TBX18"
"1306","Fibroblasts","COL15A1"
"2706","Fibroblasts","GJB2"
"146433","Fibroblasts","IL34"
"1908","Fibroblasts","EDN3"
"6540","Fibroblasts","SLC6A13"
"7448","Fibroblasts","VTN"
"80760","Fibroblasts","ITIH5"
"4060","Fibroblasts","LUM"
"1805","Fibroblasts","DPT"
"10631","Fibroblasts","POSTN"
"5179","Fibroblasts","PENK"
"4323","Fibroblasts","MMP14"
"1292","Fibroblasts","COL6A2"
"2167","Fibroblasts","FABP4"
"54829","Fibroblasts","ASPN"
"23452","Fibroblasts","ANGPTL2"
"2202","Fibroblasts","EFEMP1"
"286133","Fibroblasts","SCARA5"
"3486","Fibroblasts","IGFBP3"
"51226","Fibroblasts","COPZ2"
"1800","Fibroblasts","DPEP1"
"11096","Fibroblasts","ADAMTS5"
"1289","Fibroblasts","COL5A1"
"57124","Fibroblasts","CD248"
"221476","Fibroblasts","PI16"
"25891","Fibroblasts","PAMR1"
"7148","Fibroblasts","TNXB"
"4313","Fibroblasts","MMP2"
"7373","Fibroblasts","COL14A1"
"7123","Fibroblasts","CLEC3B"
"3489","Fibroblasts","IGFBP6"
"1290","Fibroblasts","COL5A2"
"2200","Fibroblasts","FBN1"
"8076","Fibroblasts","MFAP5"
"60681","Fibroblasts","FKBP10"
"23022","Fibroblasts","PALLD"
"11197","Fibroblasts","WIF1"
"100505806","Fibroblasts","SNHG18"
"1009","Fibroblasts","CDH11"
"5727","Fibroblasts","PTCH1"
"116985","Fibroblasts","ARAP1"
"2199","Fibroblasts","FBLN2"
"3479","Fibroblasts","IGF1"
"5396","Fibroblasts","PRRX1"
"51661","Fibroblasts","FKBP7"
"220323","Fibroblasts","OAF"
"1293","Fibroblasts","COL6A3"
"1513","Fibroblasts","CTSK"
NA,"Fibroblasts","1"
"716","Fibroblasts","C1S"
"5919","Fibroblasts","RARRES2"
"26585","Fibroblasts","GREM1"
"10417","Fibroblasts","SPON2"
"6943","Fibroblasts","TCF21"
"5046","Fibroblasts","PCSK6"
"1295","Fibroblasts","COL8A1"
"954","Fibroblasts","ENTPD2"
"3576","Fibroblasts","CXCL8"
"2921","Fibroblasts","CXCL3"
"3569","Fibroblasts","IL6"
"1545","Fibroblasts","CYP1B1"
"1305","Fibroblasts","COL13A1"
"81794","Fibroblasts","ADAMTS10"
"6356","Fibroblasts","CCL11"
"80332","Fibroblasts","ADAM33"
"1285","Fibroblasts","COL4A3"
"1286","Fibroblasts","COL4A4"
"3908","Fibroblasts","LAMA2"
"57007","Fibroblasts","ACKR3"
"1604","Fibroblasts","CD55"
"129804","Fibroblasts","FBLN7"
"387758","Fibroblasts","FIBIN"
"7058","Fibroblasts","THBS2"
NA,"Fibroblasts","NOV"
"5806","Fibroblasts","PTX3"
"4314","Fibroblasts","MMP3"
"79705","Fibroblasts","LRRK1"
"3082","Fibroblasts","HGF"
"2487","Fibroblasts","FRZB"
"1303","Fibroblasts","COL12A1"
"1294","Fibroblasts","COL7A1"
"4222","Fibroblasts","MEOX1"
"10216","Fibroblasts","PRG4"
"5311","Fibroblasts","PKD2"
"6363","Fibroblasts","CCL19"
"4837","Fibroblasts","NNMT"
"2294","Fibroblasts","FOXF1"
"3036","Fibroblasts","HAS1"
NA,"Fibroblasts","CTGF"
"2067","Fibroblasts","ERCC1"
NA,"Fibroblasts","WISP1"
"117581","Fibroblasts","TWIST2"
"11035","Fibroblasts","RIPK3"
"4921","Fibroblasts","DDR2"
"2006","Fibroblasts","ELN"
"2335","Fibroblasts","FN1"
"64399","Fibroblasts","HHIP"
"2327","Fibroblasts","FMO2"
"1278","Fibroblasts","COL1A2"
"1281","Fibroblasts","COL3A1"
"7431","Fibroblasts","VIM"
"11167","Fibroblasts","FSTL1"
"2934","Fibroblasts","GSN"
"6678","Fibroblasts","SPARC"
"6275","Fibroblasts","S100A4"
"4907","Fibroblasts","NT5E"
"1277","Fibroblasts","COL1A1"
"4256","Fibroblasts","MGP"
"50507","Fibroblasts","NOX4"
"7070","Fibroblasts","THY1"
"958","Fibroblasts","CD40"
"871","Fibroblasts","SERPINH1"
"960","Fibroblasts","CD44"
"5156","Fibroblasts","PDGFRA"
"2019","Fibroblasts","EN1"
"1634","Fibroblasts","DCN"
"1051","Fibroblasts","CEBPB"
"1958","Fibroblasts","EGR1"
"2354","Fibroblasts","FOSB"
"2355","Fibroblasts","FOSL2"
"3091","Fibroblasts","HIF1A"
"10365","Fibroblasts","KLF2"
"9314","Fibroblasts","KLF4"
"1316","Fibroblasts","KLF6"
"687","Fibroblasts","KLF9"
"10725","Fibroblasts","NFAT5"
"4772","Fibroblasts","NFATC1"
"4790","Fibroblasts","NFKB1"
"3164","Fibroblasts","NR4A1"
"4929","Fibroblasts","NR4A2"
"5087","Fibroblasts","PBX1"
"861","Fibroblasts","RUNX1"
"6774","Fibroblasts","STAT3"
"6925","Fibroblasts","TCF4"
"9839","Fibroblasts","ZEB2"
"3915","Fibroblasts","LAMC1"
"84935","Fibroblasts","MEDAG"
"3912","Fibroblasts","LAMB1"
NA,"Fibroblasts","3"
"57057","Fibroblasts","TBX20"
"4192","Fibroblasts","MDK"
"2949","Fibroblasts","GSTM5"
"4803","Fibroblasts","NGF"
"7422","Fibroblasts","VEGFA"
"2247","Fibroblasts","FGF2"
"54681","Fibroblasts","P4HTM"
"10970","Fibroblasts","CKAP4"
"11185","Fibroblasts","INMT"
"9547","Fibroblasts","CXCL14"
"7270","Follicular cells","TTF1"
"6532","Follicular cells","SLC6A4"
"30818","Follicular cells","KCNIP3"
"7253","Follicular cells","TSHR"
"7038","Follicular cells","TG"
"389434","Follicular cells","IYD"
"432","Follicular cells","ASGR1"
"5618","Follicular cells","PRLR"
"7173","Follicular cells","TPO"
"1733","Follicular cells","DIO1"
"115111","Follicular cells","SLC26A7"
"1014","Follicular cells","CDH16"
"162515","Follicular cells","SLC16A11"
"2304","Follicular cells","FOXE1"
"4582","Foveolar cells","MUC1"
"11199","Foveolar cells","ANXA10"
"4586","Foveolar cells","MUC5AC"
"7031","Foveolar cells","TFF1"
"94234","Foveolar cells","FOXQ1"
