"","ENTREZID","SYMBOL","ENSEMBL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"653786","653786","OTOAP1","ENSG00000257838",-4.02252935807586,-2.89873487146135,-7.84495848559271,5.29622074159731e-06,0.0326251450370512,-2.08023755170387
"3106","3106","HLA-B","ENSG00000234745",3.56764759100014,6.09859000008501,9.16068287370823,1.08980506039648e-06,0.0122554028066887,5.10221073705185
"567","567","B2M","ENSG00000166710",3.33107947638669,7.08982594265873,7.77348054129779,5.80234672305388e-06,0.0326251450370512,4.05656479538742
"6891","6891","TAP2","ENSG00000204267",1.93444711343669,6.29982361072423,9.6182584812092,6.54871676768201e-07,0.0122554028066887,5.74068709518507
