"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"80450","isoComp_00069956","geneComp_00020040","ENST00000642864.1","U","T",-0.236333333333333,0.000148993329375128,0.0162231041341331,0.248666666666667,0.0123333333333333
"66782","isoComp_00130185","geneComp_00032202","ENST00000590959.5","U","T",0.235333333333333,9.43537369500863e-05,0.0115083560937577,0.037,0.272333333333333
"26209","isoComp_00065877","geneComp_00019227","ENST00000374843.9","U","T",0.234,8.62973475351775e-10,6.33422530908203e-07,0,0.234
"63959","isoComp_00137573","geneComp_00033356","ENST00000581236.1","U","T",-0.232,3.53486328254926e-07,0.000118609812543596,0.274666666666667,0.0426666666666667
"25852","isoComp_00067893","geneComp_00019690","ENST00000376377.2","U","T",0.231333333333333,9.93280819158537e-05,0.0119379575411382,0,0.231333333333333
"25851","isoComp_00067892","geneComp_00019690","ENST00000259874.6","U","T",-0.231,8.10249692098169e-06,0.0015562852029908,1,0.769
"44016","isoComp_00131342","geneComp_00032369","ENST00000532881.5","U","T",-0.231,3.52378384990026e-05,0.00520077599160862,0.232666666666667,0.00166666666666667
"69467","isoComp_00151107","geneComp_00035672","ENST00000586578.1","U","T",0.230333333333333,1.01206729338307e-05,0.00186966355178507,0.392,0.622333333333333
"29928","isoComp_00133295","geneComp_00032652","ENST00000434526.7","U","T",-0.229666666666667,1.74181689435283e-26,6.50869469322533e-23,0.370333333333333,0.140666666666667
"79740","isoComp_00038396","geneComp_00014571","ENST00000421085.6","U","T",-0.229,2.40788460828541e-08,1.19968107804804e-05,0.235,0.006
"79741","isoComp_00038395","geneComp_00014571","ENST00000380833.9","U","T",0.229,2.14068837992642e-14,3.51963420673982e-11,0.765,0.994
"23908","isoComp_00100590","geneComp_00026323","ENST00000356878.5","U","T",-0.228333333333333,0.000283432750604524,0.0262984645165877,1,0.771666666666667
"23909","isoComp_00100591","geneComp_00026323","ENST00000525929.2","U","T",0.228333333333333,0.000418754384668724,0.0349847159093968,0,0.228333333333333
"52718","isoComp_00050568","geneComp_00016483","ENST00000556785.1","U","T",-0.228333333333333,1.05255495787023e-09,7.39559298945266e-07,0.228333333333333,0
"12624","isoComp_00043627","geneComp_00015412","ENST00000258415.9","U","T",0.224,1.86158689702289e-05,0.00305463743773369,0.604,0.828
"29926","isoComp_00133306","geneComp_00032652","ENST00000651354.1","U","T",0.22,2.95648310331745e-05,0.00450086227699113,0.064,0.284
"26150","isoComp_00107774","geneComp_00027440","ENST00000585246.5","U","T",-0.22,2.59024490014337e-09,1.70351082200789e-06,0.265666666666667,0.0456666666666667
"18204","isoComp_00068762","geneComp_00019854","ENST00000072516.7","U","T",0.216333333333333,1.93112437604609e-06,0.000471079740967351,0.00766666666666667,0.224
"39882","isoComp_00020605","geneComp_00011195","ENST00000463340.1","U","T",0.216333333333333,1.2415974961977e-28,5.37206562986424e-25,0.0266666666666667,0.243
"10927","isoComp_00137116","geneComp_00033284","ENST00000413152.3","U","T",-0.215,5.97098238688204e-06,0.00121500623777425,0.216666666666667,0.00166666666666667
"39283","isoComp_00147961","geneComp_00035085","ENST00000351071.11","U","T",-0.214333333333333,7.20645142246583e-06,0.00141390920892141,0.487666666666667,0.273333333333333
"26863","isoComp_00141321","geneComp_00033992","ENST00000606714.6","U","T",-0.212333333333333,0.00028719869766605,0.0265579646093708,0.258333333333333,0.046
"65437","isoComp_00080922","geneComp_00022711","ENST00000579971.5","U","T",0.211666666666667,0.000467646812874754,0.0379509468833246,0.0333333333333333,0.245
"43106","isoComp_00091173","geneComp_00024663","ENST00000265460.9","U","T",0.210666666666667,9.19038292627486e-05,0.0112596572221044,0.374333333333333,0.585
"28907","isoComp_00154735","geneComp_00036274","ENST00000434898.6","U","T",0.210333333333333,0.000205745428482271,0.0207278433635669,0.308,0.518333333333333
"42224","isoComp_00067370","geneComp_00019599","ENST00000532505.1","U","T",-0.207666666666667,0.000145434571031417,0.0159624635718969,0.207666666666667,0
"15806","isoComp_00101800","geneComp_00026531","ENST00000466780.5","U","T",0.201,0.000265264701666944,0.0250653799938346,0,0.201
"47229","isoComp_00053492","geneComp_00016915","ENST00000539633.1","U","T",-0.197666666666667,0.000493234511188951,0.0396361903184959,0.197666666666667,0
"73765","isoComp_00153066","geneComp_00035984","ENST00000270617.8","U","T",0.191,0.000357859332923952,0.0315312387206304,0.597333333333333,0.788333333333333
"20097","isoComp_00027962","geneComp_00012750","ENST00000440890.7","U","T",-0.190666666666667,4.28456601169678e-05,0.00607285521878568,0.268,0.0773333333333333
"29277","isoComp_00128770","geneComp_00031968","ENST00000396376.5","U","T",0.189333333333333,4.15023112244287e-05,0.00591303639711929,0.00566666666666667,0.195
"70958","isoComp_00145601","geneComp_00034671","ENST00000517497.2","U","T",0.188666666666667,0.000251575885750432,0.0239647165883795,0.039,0.227666666666667
"68131","isoComp_00059708","geneComp_00018087","ENST00000578619.1","U","T",-0.185666666666667,5.93378606241807e-05,0.00791890721784521,0.185666666666667,0
"64414","isoComp_00134213","geneComp_00032801","ENST00000620628.4","U","T",0.184,2.27875044074139e-05,0.00358872636460667,0.213666666666667,0.397666666666667
"35258","isoComp_00095913","geneComp_00025410","ENST00000442628.7","U","T",0.181,0.000633935080485872,0.0478115000886079,0.309333333333333,0.490333333333333
"7910","isoComp_00117257","geneComp_00029676","ENST00000616279.4","U","T",0.180333333333333,0.000266926336797035,0.0251934331749836,0.0466666666666667,0.227
"71667","isoComp_00101113","geneComp_00026429","ENST00000246535.4","U","T",-0.179333333333333,3.91812544164636e-13,5.55346993632524e-10,0.859666666666667,0.680333333333333
"40820","isoComp_00122907","geneComp_00030889","ENST00000355697.7","U","T",0.179333333333333,8.01710302583633e-09,4.60888115767799e-06,0.512666666666667,0.692
"1345","isoComp_00082403","geneComp_00022969","ENST00000475314.5","U","T",-0.178666666666667,0.000365185751484395,0.0320055333241249,0.181666666666667,0.003
"5581","isoComp_00068477","geneComp_00019806","ENST00000614243.4","U","T",0.176666666666667,1.69241597759066e-09,1.14983580732044e-06,0.693333333333333,0.87
"9051","isoComp_00110836","geneComp_00027931","ENST00000398658.2","U","T",-0.175666666666667,2.57383268199681e-05,0.00400737949093927,0.523,0.347333333333333
"1362","isoComp_00026001","geneComp_00012447","ENST00000374298.4","U","T",-0.175333333333333,4.86685939658327e-05,0.00673560231101544,0.962666666666667,0.787333333333333
