"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"52929","isoComp_00072982","geneComp_00021425","ENST00000257981.7","UT","TT",-0.261666666666667,5.3743569263314e-05,0.00901879582887873,0.666333333333333,0.404666666666667
"15118","isoComp_00066125","geneComp_00020170","ENST00000437379.2","UT","TT",-0.26,1.42455154754475e-18,9.26935341250978e-15,0.26,0
"88787","isoComp_00111463","geneComp_00029359","ENST00000449135.6","UT","TT",0.258333333333333,1.04632466021205e-10,1.76511094901254e-07,0.00633333333333333,0.264666666666667
"49514","isoComp_00125276","geneComp_00032893","ENST00000533603.5","UT","TT",-0.257333333333333,1.42169933217659e-06,0.000513933025253804,0.302666666666667,0.0453333333333333
"60528","isoComp_00057420","geneComp_00018460","ENST00000557088.5","UT","TT",0.257,0.00014872819668504,0.0193827522249219,0.0313333333333333,0.288333333333333
"3700","isoComp_00063031","geneComp_00019513","ENST00000487806.5","UT","TT",-0.254666666666667,4.78842348664125e-07,0.000208711112889508,0.515666666666667,0.261
"7238","isoComp_00072965","geneComp_00021422","ENST00000271751.10","UT","TT",-0.253,1.44488025615659e-06,0.00052024826804285,0.350666666666667,0.0976666666666667
"73594","isoComp_00070878","geneComp_00021102","ENST00000617492.4","UT","TT",-0.25,0.000233294722650437,0.0275644825610431,0.282,0.032
"86263","isoComp_00066413","geneComp_00020192","ENST00000336737.8","UT","TT",0.248,2.12972088047198e-06,0.000695372950994534,0.176333333333333,0.424333333333333
"4945","isoComp_00065594","geneComp_00020068","ENST00000578186.2","UT","TT",-0.245,1.34133329044848e-05,0.00305475243566737,0.868,0.623
"4946","isoComp_00065597","geneComp_00020068","ENST00000618193.1","UT","TT",0.243,1.27262801576439e-05,0.00291463682833773,0.0416666666666667,0.284666666666667
"24719","isoComp_00035269","geneComp_00014891","ENST00000256442.10","UT","TT",-0.242,3.71266805992488e-05,0.00693051658989584,0.596666666666667,0.354666666666667
"65769","isoComp_00147996","geneComp_00036759","ENST00000262376.11","UT","TT",-0.241,0.000188406125474949,0.0233510808248516,0.51,0.269
"22812","isoComp_00097016","geneComp_00026824","ENST00000280614.4","UT","TT",-0.238666666666667,7.61617741995152e-06,0.00197103209729518,0.959333333333333,0.720666666666667
"86982","isoComp_00068309","geneComp_00020611","ENST00000495977.1","UT","TT",0.233333333333333,1.041357834725e-07,6.42813675492081e-05,0.19,0.423333333333333
"65677","isoComp_00096917","geneComp_00026802","ENST00000576935.5","UT","TT",-0.229333333333333,6.80752948389755e-06,0.00180798456520446,0.256666666666667,0.0273333333333333
"10832","isoComp_00045195","geneComp_00016533","ENST00000331944.10","UT","TT",0.228666666666667,0.000435122907613788,0.0445370296539164,0.293666666666667,0.522333333333333
"54650","isoComp_00149359","geneComp_00036994","ENST00000552237.1","UT","TT",-0.226666666666667,0.000121995004163171,0.0166615545715866,0.263666666666667,0.037
"35009","isoComp_00136922","geneComp_00034914","ENST00000460770.1","UT","TT",-0.225,0.00018458346876376,0.0229397212421603,0.353666666666667,0.128666666666667
"39188","isoComp_00153962","geneComp_00037856","ENST00000523924.5","UT","TT",0.221666666666667,0.000154530169159656,0.0199392072093031,0.0356666666666667,0.257333333333333
"56020","isoComp_00036806","geneComp_00015146","ENST00000618072.4","UT","TT",0.220333333333333,0.000221960208486796,0.0266886161038878,0.133333333333333,0.353666666666667
"19206","isoComp_00071220","geneComp_00021151","ENST00000527095.7","UT","TT",-0.215,6.95692718137728e-10,8.68148271938006e-07,0.615333333333333,0.400333333333333
"11257","isoComp_00078547","geneComp_00022585","ENST00000421071.1","UT","TT",-0.214666666666667,1.09235768891429e-05,0.00260495853479937,0.215333333333333,0.000666666666666667
"90198","isoComp_00096575","geneComp_00026743","ENST00000304449.7","UT","TT",0.214333333333333,3.83724371858398e-05,0.00707606384186491,0.491333333333333,0.705666666666667
"35008","isoComp_00136926","geneComp_00034914","ENST00000634737.1","UT","TT",0.214,6.26202181127375e-05,0.0100785360233179,0.122666666666667,0.336666666666667
"3290","isoComp_00026128","geneComp_00013297","ENST00000371118.1","UT","TT",-0.213666666666667,0.000321054916325166,0.0351524262711025,0.252,0.0383333333333333
"59681","isoComp_00013005","geneComp_00008231","ENST00000554508.5","UT","TT",-0.21,1.80656823244976e-12,4.21977281290367e-09,0.267333333333333,0.0573333333333333
"30422","isoComp_00074780","geneComp_00021744","ENST00000539200.5","UT","TT",-0.208333333333333,9.82901727012825e-08,6.13276820027125e-05,0.227666666666667,0.0193333333333333
"53790","isoComp_00106055","geneComp_00028496","ENST00000354947.10","UT","TT",0.207333333333333,8.44183286436658e-05,0.0125070199137511,0.608,0.815333333333333
"21962","isoComp_00066608","geneComp_00020217","ENST00000508591.5","UT","TT",-0.207,6.82432233206234e-05,0.010718421847613,0.308,0.101
"74011","isoComp_00128563","geneComp_00033456","ENST00000255559.7","UT","TT",-0.205,0.000118396751454376,0.0162922514659937,0.345666666666667,0.140666666666667
"66104","isoComp_00098750","geneComp_00027096","ENST00000568738.1","UT","TT",-0.205,8.30676585630555e-08,5.22403566393749e-05,0.232,0.027
"1641","isoComp_00131051","geneComp_00033820","ENST00000447507.1","UT","TT",-0.202,2.64795484187262e-19,2.0101507856269e-15,0.202,0
"30609","isoComp_00059359","geneComp_00018839","ENST00000406360.2","UT","TT",0.198666666666667,2.83651002152202e-07,0.000136716781439455,0.718333333333333,0.917
"85292","isoComp_00115615","geneComp_00030005","ENST00000495055.1","UT","TT",0.198333333333333,5.58930805906764e-05,0.00922397838675408,0.0396666666666667,0.238
"30608","isoComp_00059358","geneComp_00018839","ENST00000343882.10","UT","TT",-0.196666666666667,6.11129116117628e-07,0.000249647614178706,0.277666666666667,0.081
"11642","isoComp_00041096","geneComp_00015822","ENST00000431078.1","UT","TT",0.194333333333333,2.24677691315453e-08,1.77187593926355e-05,0.704666666666667,0.899
"1307","isoComp_00067519","geneComp_00020414","ENST00000436439.6","UT","TT",0.192666666666667,0.000509496268845132,0.0495336948844356,0.299333333333333,0.492
"22121","isoComp_00130599","geneComp_00033792","ENST00000506691.1","UT","TT",-0.192333333333333,2.47555353801507e-08,1.91261278094235e-05,0.216666666666667,0.0243333333333333
"52476","isoComp_00152495","geneComp_00037506","ENST00000551673.5","UT","TT",-0.192,5.51366242400056e-05,0.00911565503043113,0.413,0.221
"52477","isoComp_00152494","geneComp_00037506","ENST00000324868.13","UT","TT",0.191666666666667,3.28103110198332e-06,0.000992986077296585,0.587,0.778666666666667
"24248","isoComp_00076657","geneComp_00022152","ENST00000666123.1","UT","TT",0.19,2.5992193627263e-07,0.000127988371387521,0.0186666666666667,0.208666666666667
"71689","isoComp_00104358","geneComp_00028232","ENST00000613219.4","UT","TT",0.188666666666667,2.35882324863081e-11,4.47665338869317e-08,0,0.188666666666667
"59531","isoComp_00059178","geneComp_00018775","ENST00000246166.3","UT","TT",0.188,4.04494624263992e-05,0.00729660243405002,0.534,0.722
"68099","isoComp_00050439","geneComp_00017270","ENST00000358896.10","UT","TT",-0.186666666666667,2.73193837645733e-05,0.005567531506527,0.351666666666667,0.165
"51054","isoComp_00134534","geneComp_00034580","ENST00000534457.5","UT","TT",-0.186666666666667,1.11316540536333e-05,0.00263389391602541,0.337666666666667,0.151
"8573","isoComp_00074528","geneComp_00021688","ENST00000305883.6","UT","TT",-0.185333333333333,4.27354763811304e-12,9.05356036375688e-09,0.243,0.0576666666666667
"78616","isoComp_00135775","geneComp_00034743","ENST00000242770.9","UT","TT",0.185,3.57885906738233e-19,2.50784419694047e-15,0.00733333333333333,0.192333333333333
"38046","isoComp_00043059","geneComp_00016128","ENST00000262207.9","UT","TT",-0.184333333333333,5.3542436354579e-05,0.00901879582887873,0.632666666666667,0.448333333333333
