"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"14851","isoComp_00065263","geneComp_00019875","ENST00000422591.5","UU","TU",0.209,5.0267128446074e-05,0.00947391902660076,0.115666666666667,0.324666666666667
"74827","isoComp_00104604","geneComp_00028093","ENST00000262719.10","UU","TU",-0.209,8.31613888197968e-06,0.00222630280153706,0.896666666666667,0.687666666666667
"25361","isoComp_00126697","geneComp_00032912","ENST00000415928.5","UU","TU",0.205333333333333,2.1474202640423e-05,0.00497236556567737,0.021,0.226333333333333
"47744","isoComp_00107431","geneComp_00028520","ENST00000531239.2","UU","TU",0.201,1.74467754672159e-07,9.04260286381337e-05,0,0.201
"89045","isoComp_00065011","geneComp_00019755","ENST00000382966.5","UU","TU",0.199666666666667,5.16728086785426e-05,0.00969664929985571,0.007,0.206666666666667
"67141","isoComp_00151235","geneComp_00037056","ENST00000565562.5","UU","TU",-0.198666666666667,5.17752147209813e-05,0.00969664929985571,0.386666666666667,0.188
"82659","isoComp_00150908","geneComp_00036998","ENST00000488143.1","UU","TU",0.198333333333333,0.000149186928312424,0.0215902063283566,0.0146666666666667,0.213
"22096","isoComp_00080154","geneComp_00023106","ENST00000426240.5","UU","TU",-0.197666666666667,0.000174619501498969,0.0239489303078902,0.280666666666667,0.083
"38722","isoComp_00031587","geneComp_00014193","ENST00000530455.5","UU","TU",-0.196333333333333,7.06183840380621e-05,0.0122820298050177,0.587,0.390666666666667
"35523","isoComp_00056379","geneComp_00018142","ENST00000665607.1","UU","TU",0.195666666666667,0.00019033106092407,0.025362396245438,0.04,0.235666666666667
"57729","isoComp_00135169","geneComp_00034413","ENST00000354586.5","UU","TU",-0.195,0.000291993957273334,0.0347975946037831,0.722333333333333,0.527333333333333
"73210","isoComp_00126754","geneComp_00032924","ENST00000350690.10","UU","TU",-0.193,0.000359958441657497,0.0399616627626911,0.531,0.338
"22095","isoComp_00080158","geneComp_00023106","ENST00000666918.1","UU","TU",0.191,8.10630612686545e-05,0.0134572229477034,0.696,0.887
"52568","isoComp_00024196","geneComp_00012881","ENST00000616622.1","UU","TU",-0.187333333333333,1.16959430815321e-09,1.22609504706281e-06,0.199666666666667,0.0123333333333333
"4140","isoComp_00044382","geneComp_00016223","ENST00000533024.5","UU","TU",-0.186333333333333,4.30370283223453e-09,3.79863560777437e-06,0.197666666666667,0.0113333333333333
"85105","isoComp_00067921","geneComp_00020395","ENST00000495977.1","UU","TU",0.185,6.66643660818862e-06,0.00187474077069461,0.111,0.296
"35908","isoComp_00131278","geneComp_00033844","ENST00000520207.2","UU","TU",-0.183333333333333,0.000327135726327191,0.0373468725193068,0.305333333333333,0.122
"74715","isoComp_00057729","geneComp_00018390","ENST00000651787.1","UU","TU",-0.18,1.72470547243933e-06,0.000595939219967243,0.310333333333333,0.130333333333333
"579","isoComp_00103635","geneComp_00027933","ENST00000377541.5","UU","TU",-0.177333333333333,0.000374441115253462,0.0412611892478373,0.200333333333333,0.023
"88147","isoComp_00140714","geneComp_00035311","ENST00000372068.7","UU","TU",-0.171,6.71659412555533e-07,0.000279796362855552,0.225333333333333,0.0543333333333333
"29910","isoComp_00143319","geneComp_00035768","ENST00000492671.1","UU","TU",0.169333333333333,0.000286236882959754,0.0344361125576426,0.074,0.243333333333333
"9823","isoComp_00076005","geneComp_00021903","ENST00000238875.10","UU","TU",0.166333333333333,2.88487700488423e-09,2.76535624037005e-06,0.562333333333333,0.728666666666667
"51929","isoComp_00097453","geneComp_00026739","ENST00000394825.6","UU","TU",0.162333333333333,0.000315205839912235,0.036551794144261,0.00466666666666667,0.167
"42327","isoComp_00152933","geneComp_00037465","ENST00000659795.1","UU","TU",-0.159,0.000115973126687272,0.018043030235236,0.182,0.023
"58160","isoComp_00113156","geneComp_00029424","ENST00000426039.8","UU","TU",-0.158666666666667,8.27700233814508e-11,1.27218953006659e-07,0.461333333333333,0.302666666666667
"27699","isoComp_00067214","geneComp_00020224","ENST00000377575.3","UU","TU",0.156333333333333,0.000116558430175623,0.0180735672620767,0.588333333333333,0.744666666666667
"27700","isoComp_00067215","geneComp_00020224","ENST00000477243.1","UU","TU",-0.156333333333333,0.000275210303452624,0.0334709043954857,0.411666666666667,0.255333333333333
"50159","isoComp_00146011","geneComp_00036193","ENST00000538354.5","UU","TU",-0.156333333333333,9.37617507287908e-08,5.19166384609907e-05,0.156333333333333,0
"79365","isoComp_00094849","geneComp_00026300","ENST00000252485.8","UU","TU",-0.153333333333333,9.68211756239036e-11,1.45619822048863e-07,0.903,0.749666666666667
"80558","isoComp_00156694","geneComp_00038066","ENST00000613950.1","UU","TU",-0.152,3.33338511153525e-06,0.00105003986762556,0.157666666666667,0.00566666666666667
"15535","isoComp_00130625","geneComp_00033720","ENST00000296088.12","UU","TU",-0.149333333333333,6.021305305754e-10,6.97118576742924e-07,0.737666666666667,0.588333333333333
"36277","isoComp_00083604","geneComp_00023989","ENST00000520763.5","UU","TU",0.148666666666667,0.000453376930266949,0.0476056457037782,0.0516666666666667,0.200333333333333
"16518","isoComp_00131975","geneComp_00033968","ENST00000233025.11","UU","TU",-0.148333333333333,7.93663813881269e-06,0.00213754525728319,0.782666666666667,0.634333333333333
"27015","isoComp_00083677","geneComp_00024000","ENST00000292599.4","UU","TU",0.147333333333333,8.28214858968565e-05,0.0136727537097168,0.657333333333333,0.804666666666667
"70724","isoComp_00029354","geneComp_00013678","ENST00000644555.1","UU","TU",-0.146,0.000186513774203142,0.0250567819570919,0.172333333333333,0.0263333333333333
"13596","isoComp_00062371","geneComp_00019270","ENST00000373908.5","UU","TU",0.145,4.31409964220781e-11,7.5409615843902e-08,0.0106666666666667,0.155666666666667
"33919","isoComp_00041139","geneComp_00015690","ENST00000313669.12","UU","TU",0.144666666666667,0.000352301004230563,0.0392857611394861,0.478666666666667,0.623333333333333
"28422","isoComp_00045198","geneComp_00016387","ENST00000374542.10","UU","TU",0.143,7.6937123246779e-05,0.0129899881175769,0.628333333333333,0.771333333333333
"18075","isoComp_00095013","geneComp_00026321","ENST00000513550.1","UU","TU",-0.142333333333333,0.000378806376197222,0.0415879950971105,0.142333333333333,0
"35405","isoComp_00155934","geneComp_00037936","ENST00000398612.3","UU","TU",0.140666666666667,4.50366316614193e-06,0.00133829353424018,0.0956666666666667,0.236333333333333
"66309","isoComp_00033566","geneComp_00014490","ENST00000290858.11","UU","TU",0.139333333333333,4.41100870927442e-05,0.00854843898708014,0.124333333333333,0.263666666666667
"637","isoComp_00105251","geneComp_00028169","ENST00000481137.1","UU","TU",-0.139,2.52290210276083e-06,0.000817851468199345,0.141666666666667,0.00266666666666667
"34157","isoComp_00050155","geneComp_00017080","ENST00000673992.1","UU","TU",0.135666666666667,7.4376018657349e-05,0.012701913669055,0,0.135666666666667
"4294","isoComp_00114255","geneComp_00029590","ENST00000356415.5","UU","TU",0.134333333333333,0.000277424295129944,0.0336483586910872,0.0906666666666667,0.225
"26210","isoComp_00063726","geneComp_00019541","ENST00000614343.4","UU","TU",0.133333333333333,5.98913747714327e-07,0.000255629449192478,0.00833333333333333,0.141666666666667
"52576","isoComp_00127094","geneComp_00032984","ENST00000637859.1","UU","TU",0.132,3.05818181597346e-05,0.00648948334627542,0.00333333333333333,0.135333333333333
"21672","isoComp_00055565","geneComp_00017962","ENST00000515155.1","UU","TU",-0.128333333333333,7.60405016544859e-05,0.0129253491026698,0.128333333333333,0
"57801","isoComp_00121992","geneComp_00032145","ENST00000392067.7","UU","TU",0.125666666666667,0.000168753221273981,0.0233600053057634,0.128,0.253666666666667
"47183","isoComp_00086421","geneComp_00024350","ENST00000440873.6","UU","TU",-0.123666666666667,0.000290207959524208,0.0346798511631429,0.164,0.0403333333333333
"22228","isoComp_00132582","geneComp_00034059","ENST00000651917.1","UU","TU",0.122333333333333,4.13483354392762e-05,0.0081012748558355,0,0.122333333333333
"87851","isoComp_00102192","geneComp_00027677","ENST00000420881.6","UU","TU",-0.122,0.000151404013583242,0.0217696993530731,0.326,0.204
"50508","isoComp_00030962","geneComp_00014051","ENST00000488701.1","UU","TU",-0.119,5.02502703345094e-06,0.0014639414540884,0.122333333333333,0.00333333333333333
"49831","isoComp_00133674","geneComp_00034221","ENST00000392669.6","UU","TU",-0.119,4.04420221946186e-05,0.00802993841196783,0.163666666666667,0.0446666666666667
"17723","isoComp_00092340","geneComp_00025932","ENST00000664237.1","UU","TU",-0.118,7.77445741596723e-06,0.00212952757855528,0.118,0
"15534","isoComp_00130626","geneComp_00033720","ENST00000429705.6","UU","TU",0.118,6.17766682926033e-10,7.06051877984706e-07,0.127333333333333,0.245333333333333
"39873","isoComp_00060289","geneComp_00018901","ENST00000375769.1","UU","TU",-0.114333333333333,1.25525179618147e-05,0.00316220345941846,0.176666666666667,0.0623333333333333
"33174","isoComp_00013287","geneComp_00008208","ENST00000398204.8","UU","TU",-0.114333333333333,1.92851591687063e-05,0.00456024956077629,0.454666666666667,0.340333333333333
"19616","isoComp_00081761","geneComp_00023657","ENST00000483938.1","UU","TU",0.114333333333333,3.6932160680866e-05,0.00761270047427296,0,0.114333333333333
"81177","isoComp_00154608","geneComp_00037729","ENST00000598312.6","UU","TU",-0.113,0.000113645149599982,0.0178012581162815,0.298333333333333,0.185333333333333
"68393","isoComp_00020234","geneComp_00011777","ENST00000571010.4","UU","TU",0.111333333333333,6.17598459783801e-09,5.24352856136634e-06,0.0166666666666667,0.128
"41925","isoComp_00104662","geneComp_00028102","ENST00000453759.6","UU","TU",0.109333333333333,3.11767555475839e-08,2.05875127911145e-05,0.0273333333333333,0.136666666666667
"86765","isoComp_00109644","geneComp_00028881","ENST00000379341.9","UU","TU",0.107666666666667,2.4583273691362e-38,5.47881274940961e-34,0.889333333333333,0.997
"2755","isoComp_00105289","geneComp_00028178","ENST00000372006.5","UU","TU",-0.107333333333333,1.88783365603163e-06,0.000644807306261502,0.137,0.0296666666666667
"87239","isoComp_00125731","geneComp_00032738","ENST00000484922.1","UU","TU",-0.107333333333333,2.46690666090443e-07,0.000118874231405215,0.107333333333333,0
"64139","isoComp_00138685","geneComp_00034973","ENST00000573476.1","UU","TU",0.106333333333333,9.49658665547663e-07,0.0003617915429811,0.00666666666666667,0.113
"33178","isoComp_00013288","geneComp_00008208","ENST00000398209.7","UU","TU",0.103333333333333,0.000411001054296288,0.0443577614858973,0.285666666666667,0.389
"86766","isoComp_00109645","geneComp_00028881","ENST00000439422.1","UU","TU",-0.102333333333333,2.37524575857398e-15,1.00831444590283e-11,0.105333333333333,0.003
"39872","isoComp_00060288","geneComp_00018901","ENST00000252506.11","UU","TU",0.102,3.42433811255971e-09,3.14710793526145e-06,0.823666666666667,0.925666666666667
"4366","isoComp_00116620","geneComp_00029972","ENST00000414971.1","UU","TU",0.101,0.000395647739314276,0.0430131817276217,0.0316666666666667,0.132666666666667
"37469","isoComp_00142756","geneComp_00035682","ENST00000342697.5","UU","TU",0.100666666666667,0.000207422602874908,0.0271130539274038,0.228333333333333,0.329
"37468","isoComp_00142757","geneComp_00035682","ENST00000448464.6","UU","TU",-0.100666666666667,4.76653063330753e-05,0.00906016857926367,0.771666666666667,0.671
"14848","isoComp_00065264","geneComp_00019875","ENST00000451445.6","UU","TU",-0.0396666666666667,2.87219474857501e-05,0.00624506207929795,0.041,0.00133333333333333
"38724","isoComp_00031592","geneComp_00014193","ENST00000648784.1","UU","TU",-0.0203333333333333,3.05507861108771e-08,2.03247084285549e-05,0.0206666666666667,0.000333333333333333
