"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"8693",9.47795487864103,6.50695127171269,1.61251557533501,4.03527964085608,5.45373036782376e-05,0.0141508720958261,"GALNT4"
"51313",19.0164608028765,5.7330551670529,1.30716533176444,4.3858684343428,1.15523935483704e-05,0.00411423772586377,"GASK1B"
"10866",37.0548688025521,3.84578966969561,0.622567516752596,6.17730537846853,6.52048775575857e-10,9.11012454675715e-07,"HCP5"
"1950",33.0905224941944,3.80351908537894,0.891711958914787,4.26541221899482,1.99533454237122e-05,0.00671134468390526,"EGF"
"3106",521.431521796155,3.70796667280274,0.200614811832921,18.4830154808852,2.82917955174092e-76,5.13863881982704e-72,"HLA-B"
"3136",25.6464718395699,3.32635248536834,0.793423230395949,4.19240621894618,2.76011194342413e-05,0.00870187825628348,"HLA-H"
"567",561.806449478309,3.11967367998349,0.172425005640537,18.0929307114957,3.62297846013045e-73,3.29020788856746e-69,"B2M"
"3107",340.119586261525,2.70959218019283,0.2136278044195,12.6837056045009,7.28066945443625e-37,4.40795997669752e-33,"HLA-C"
"51299",58.6307447261167,2.20324528698919,0.482733421028099,4.56410348033669,5.01633329622846e-06,0.00210689221144616,"NRN1"
"493869",63.4214737708545,2.19498575471166,0.481805839698972,4.5557475104143,5.21996088284298e-06,0.00210689221144616,"GPX8"
"6891",253.790416154903,2.17687110885541,0.253602471276921,8.58379296500773,9.17951161647754e-18,3.33454938980163e-14,"TAP2"
"26509",91.470263831625,2.00195052075216,0.463264641844863,4.32139718839707,1.55044291522822e-05,0.00540721028328264,"MYOF"
"3105",745.036426275789,1.9526551483711,0.391111549077969,4.99257859547849,5.95784562879756e-07,0.000400786482058704,"HLA-A"
"1490",320.96508418891,1.75314709798605,0.26306727525459,6.66425383502908,2.66013360789966e-11,4.83160067202814e-08,"CCN2"
"6281",237.643006333312,1.68565192128078,0.275295730985354,6.12305870217238,9.17958555538859e-10,1.19092008887516e-06,"S100A10"
"2335",273.400595092744,1.67459498934709,0.226630200315902,7.38910783740586,1.4781725222556e-13,3.35600594021607e-10,"FN1"
"2697",421.38273136065,1.59955252747665,0.288493170200535,5.54450743622382,2.94782807355693e-08,2.67707006500072e-05,"GJA1"
"3913",104.29906262803,1.48168877955719,0.36517304638696,4.05749765547346,4.96013150447412e-05,0.0134280941707286,"LAMB2"
"100505385",97.3858361655189,1.39935898946269,0.379932816159987,3.68317484024182,0.000230347052809878,0.0454760165237589,"IQCJ-SCHIP1"
"1289",116.517982085984,1.39451527262491,0.364444371468682,3.82641462400731,0.000130023216113508,0.0284725675936029,"COL5A1"
"3959",256.167877021178,1.38835782090212,0.22277223586507,6.232185153194,4.59973357443148e-10,6.96208007603325e-07,"LGALS3BP"
"781",222.421580653411,1.34893497148941,0.240361694115654,5.6121046094822,1.99880537242199e-08,1.91075273575266e-05,"CACNA2D1"
