"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"400759",744.238765842824,10.2453023070766,0.733420777378102,13.9692010685904,2.40307218802405e-44,7.31279726183179e-42,"GBP1P1"
"29126",970.173806861505,9.33646715131539,0.97951786137293,9.53169668415136,1.54733309448166e-21,2.23855976373781e-19,"CD274"
"3394",293.261686039319,9.26580649510546,1.32675659558561,6.98380285120473,2.87295153578986e-12,2.86483585348537e-10,"IRF8"
"121506",53.7883114153637,9.17096366877273,1.70802171161422,5.36934841425723,7.90216247479919e-08,4.94585700993637e-06,"ERP27"
"80833",48.4368527480082,9.00219270265946,1.26950634027328,7.09109708008361,1.33052963322806e-12,1.38957680630031e-10,"APOL3"
"4938",87.7717410792066,9.00087957822564,1.22863850613271,7.32589735166042,2.3730538623535e-13,2.58545683151477e-11,"OAS1"
"10561",98.3456053886771,8.59678586809606,1.41151826131536,6.09045316925971,1.1259151720999e-09,8.45182650969398e-08,"IFI44"
"2633",7030.27906426938,8.4824095126107,0.503471162051043,16.8478557501785,1.08788118881838e-63,5.052921837538e-61,"GBP1"
"285180",40.2840666021591,8.28760874301246,2.21398126690705,3.7433057211863,0.000181615034790299,0.00627300462631856,"RUFY4"
"23780",1310.27053693057,8.26130941016232,0.633362012381812,13.0435821041666,6.91311463505938e-39,1.82114139266863e-36,"APOL2"
"3659",4634.38213310257,8.22607959771665,0.154577302499878,53.2166072552801,0,0,"IRF1"
"3133",5815.80575085416,8.19349631358697,0.312213147934374,26.2432776063269,8.52903648084088e-152,1.36852267169856e-148,"HLA-E"
"3437",784.690589579913,8.03638083248937,0.364057682491971,22.0744712142329,5.56109721559069e-108,6.13458536594848e-105,"IFIT3"
"4283",135.706596626226,8.01551332249202,1.52183788969818,5.26699550376006,1.38674602024303e-07,8.46922742466767e-06,"CXCL9"
"54809",531.258557616633,7.91677764859127,0.626976634418353,12.6269101813271,1.50055464137221e-36,3.73025203101682e-34,"SAMD9"
"10384",1365.38884449382,7.82312013357859,0.368705633687078,21.2177938680972,6.54224520681453e-100,5.77353139501382e-97,"BTN3A3"
"51513",227.001263505645,7.76293007693181,0.642264570887611,12.0868103719366,1.2400822903488e-33,2.91832698995417e-31,"ETV7"
"567",10779.7397995544,7.69534937080124,0.44776826174667,17.1860089877361,3.38014692895593e-66,1.65721092489089e-63,"B2M"
"83666",360.308767709047,7.62295807151113,0.431643727971051,17.6603007933023,8.47866391707546e-70,4.53480054958733e-67,"PARP9"
"5696",361.509761422739,7.54315201420399,0.71120383656723,10.6061745260157,2.78936925414517e-26,5.41015025666617e-24,"PSMB8"
"6890",1772.18975112943,7.52204327600619,0.444068344741544,16.9389315070052,2.32305781672336e-64,1.10816136392344e-61,"TAP1"
"64108",16.3807600077694,7.51556757599626,1.42609423428332,5.27003573489179,1.36397201578039e-07,8.3590646105986e-06,"RTP4"
"6891",7519.22817764776,7.51396361996443,0.307903042861344,24.4036679538375,1.56352896277153e-131,2.29969051607646e-128,"TAP2"
"84166",1641.989962783,7.49777688309852,0.377956944903601,19.8376481347918,1.40897611517053e-87,9.56478016644608e-85,"NLRC5"
"105379508",36.7974920381587,7.48994867348687,1.20480796982432,6.21671574315616,5.07668217173999e-10,3.92997545312328e-08,"LOC105379508"
"3383",766.824988674383,7.38693415738248,0.680156959005404,10.8606315933081,1.77517152271124e-27,3.60135372136246e-25,"ICAM1"
"11118",1562.96952604253,7.37408419528166,0.427354754651227,17.255182292987,1.02298354926087e-66,5.15875989841551e-64,"BTN3A2"
"2537",1356.27159758968,7.33350343060543,0.857287714337012,8.55430832375434,1.18577576896785e-17,1.49492445159161e-15,"IFI6"
"30009",14.4177584862799,7.31298222898433,1.45715239408697,5.01868044732998,5.2027609515964e-07,2.88769593697096e-05,"TBX21"
"6772",24242.4983160494,7.31200300484905,0.0753629162328746,97.0238861544934,0,0,"STAT1"
"4940",156.867510062079,7.23572590323539,0.830388282775659,8.71366570714273,2.94203110885892e-18,3.81815066701176e-16,"OAS3"
"80830",6267.11578683273,7.2263109628172,0.120623251124127,59.9081097174289,0,0,"APOL6"
"2634",103.686268699468,7.1808948065582,1.46704702336991,4.89479525343583,9.84081294027246e-07,5.25844048672798e-05,"GBP2"
"5630",177.741281128169,7.07649655934254,0.675485620449645,10.4761616607501,1.11164311968032e-25,2.0653159013008e-23,"PRPH"
