"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"PTPRN2",1.85340675650543,5.16776506011713,5.47389285189923,5.2652240306395e-06,0.0965326173777446,3.53327643001784,4.55393256542751
"LOC100289473",-1.34136188650308,-1.91410275581026,-5.18675100834921,1.20688682751796e-05,0.110635315478571,1.57368073303469,-4.37634004677265
"VIT",-1.79108256901944,-0.966400526944473,-4.79075015936265,3.78158229582615e-05,0.231105099372255,1.12329365590945,-4.12043470454734
"TMEM229A",1.34281694602613,0.6022794320974,4.48846878222942,8.99576009651503e-05,0.412320664023766,0.762381795650762,3.91619471787413
"LMX1A",-2.88733252650998,0.342146404128518,-4.09973924221405,0.000270717291694339,0.549524960102584,-0.023433024219659,-3.64182004749949
"LINC01748",-0.829588772190215,0.826392020335489,-4.09938428196161,0.000270987401820209,0.549524960102584,0.0388926729016967,-3.64156336881749
"RSPO3",-2.2258482820258,3.19355095213466,-4.59759221767442,0.000278230044993658,0.549524960102584,1.01754442131137,-3.63476879064172
"RGPD1",2.51011134200188,2.11412277067839,4.04224900579095,0.000318094466883205,0.549524960102584,-0.0125640252585013,3.60010029024251
"LOC101926964",-1.30717464435195,0.896824923198358,-4.03507612539526,0.000324548362967516,0.549524960102584,-0.0852996118169376,-3.5948741985462
"LOC105375614",2.29978524512216,-0.432157074959793,4.37303968463544,0.000373016013960981,0.549524960102584,-0.744874044739587,3.55847378397067
"LINC02696",-0.889257514536906,-0.134745102199082,-3.98067638257938,0.000377852310109186,0.549524960102584,-0.319949705754778,-3.55508820409774
"NFE2",-1.58282209737378,-1.18119193467217,-3.96486886352654,0.000394887594090658,0.549524960102584,-0.505457958812113,-3.54347710647145
"CES4A",-0.787655804522838,0.601385398365266,-3.92539142333735,0.000440779895469407,0.549524960102584,-0.349580844849931,-3.51438113116543
"LINC00402",-1.13116195633868,-2.05887991958479,-3.92082268849253,0.00044641642925531,0.549524960102584,-0.740692188525214,-3.51100474543566
"LOC100132874",-1.25800631949367,-0.0770984918803459,-4.40555061741741,0.000461349790009311,0.549524960102584,0.421436533681776,-3.50224810678456
"USP32P1",0.863489326185439,0.133385436829152,3.88838098560027,0.000488516432787431,0.549524960102584,-0.503773595271365,3.4869753219825
"GPA33",-1.54024882896827,-0.292927556759313,-3.87318908644887,0.000509540979695861,0.549524960102584,-0.557886566278553,-3.47568996315912
"HYMAI",-0.953885271750699,-0.579636817470202,-3.81567980842924,0.000597428234472637,0.564774283846182,-0.702779194337635,-3.4327792808361
"POU5F1",-2.2231079657757,2.77512434759525,-3.79690866711205,0.000629191825768798,0.564774283846182,-0.450747040079259,-3.4187081091195
"SLC2A14",-2.66175325986431,-0.743215675625404,-4.60779267400219,0.000641855347545742,0.564774283846182,-1.51434125661142,-3.41328179932353
"MTRNR2L4",1.08115453523135,1.59165232434446,3.78064770653971,0.000658033080232052,0.564774283846182,-0.581752571345601,3.4064927088744
"SPACA6",-0.73144609564285,3.65237264337372,-3.76009612262382,0.000696330890776339,0.564774283846182,-0.490357891198991,-3.39101972602359
"RGPD2",2.69429240688453,3.09301957275973,4.19080824644888,0.000727761144146248,0.564774283846182,-1.37951557138466,3.37890136262055
"NLRP2",-3.92294575947167,4.37757655011151,-4.18515962140972,0.000739313996526037,0.564774283846182,0.415671771462359,-3.37456892467661
"LOC105373349",-0.754838695682403,-2.07366764175217,-3.69052382020668,0.000842762461703837,0.60412759649293,-1.15277246280897,-3.33835419762319
"MANEAL",1.24117952654796,1.97369481197001,3.65490023752851,0.000928912611504334,0.60412759649293,-0.818784600231977,3.31121664850149
"BDNF",0.863045142125328,2.04013248140449,3.62431588855736,0.00100964396553915,0.60412759649293,-0.875969260860247,3.28782550683449
"CGB7",-1.07299464407044,0.255234801102618,-3.62281967531527,0.00101376321246073,0.60412759649293,-0.99434150541141,-3.28667900022711
"FLJ37201",-0.739586479039521,-1.58346791161004,-3.62206904232777,0.0010158359237683,0.60412759649293,-1.20743949263458,-3.28610373402888
"SLC26A1",-0.940897536191803,0.121319237460192,-3.61873864631786,0.00102508174726092,0.60412759649293,-1.01564552602072,-3.28355078184802
"GABRA4",1.99732051270369,-1.82932963947398,3.91073702529377,0.0010899556265033,0.60412759649293,-2.07214383064701,3.26621473602057
"ZDHHC1",-0.66928575606767,1.59672723949432,-3.59428085146645,0.00109552473859862,0.60412759649293,-0.949798493903973,-3.26477134781395
"CYP26C1",-1.42585108352707,3.25915873659197,-3.59208406610756,0.00110207660095074,0.60412759649293,-0.873042045149584,-3.26308191511539
"LRRC61",1.23278773588473,2.03970901259289,3.58602617325136,0.00112034134835604,0.60412759649293,-0.961045584209583,3.25842082230673
"SMIM10",0.897535947453074,-0.404567200039476,3.57392877974155,0.00115769650782096,0.6064345078397,-1.18063063259151,3.2491027542385
"PCP4",-1.23863009760798,1.68218011449211,-3.92198007904015,0.00121950970383091,0.621069191945439,-0.467719551496186,-3.23427733768053
"RAB42",-0.671437152295002,0.615274054736554,-3.53419870354482,0.00128905030258683,0.622702062365392,-1.14175000691205,-3.21840640974565
"FUT2",-0.77143701738456,-0.157211406441348,-3.53374095319294,0.00129064461491682,0.622702062365392,-1.20587958699058,-3.21805190091566
"CTNNA3",-0.845071783762827,-0.112332497738256,-3.50691097107016,0.00138749565193251,0.638106647423653,-1.25462808959017,-3.19723972158975
"CACNG2-DT",-0.678850862259142,-0.186378498116825,-3.48630147893927,0.00146662224124923,0.638106647423653,-1.3057058134835,-3.1812081267867
